#37-1	N
Guatemalan	C
if	N
Obamacare	C
funds	C
were	N
not	N
converted	C
to	N
other	N
purposes	C
,	N
estimated	C
at	N
about	N
$32,820	N
annually	C
per	N
person	N
by	N
the	N
Tax	N
Policy	C
Center	N
,	N
is	N
also	N
a	N
significant	C
motive	C
.	N

#13-18	N
Republican	C
Senators	N
set	N
a	N
date	N
of	N
January	N
27	N
to	N
repeal	C
Obamacare	C
,	N
according	N
to	N
NBC	N
News	N
.	N

#13-19	N
House	N
Majority	N
Leader	N
Kevin	N
McCarthy	N
of	N
California	N
says	N
legislation	C
repealing	C
Obamacare	C
and	N
replacing	C
it	N
could	N
ready	N
by	N
late	N
February	N
.	N

#13-20	N
According	N
to	N
Democratic	C
Senator	C
Bernie	N
Sanders	N
,	N
as	N
many	N
as	N
30	N
million	C
people	N
could	N
lose	N
their	N
health	N
insurance	C
if	N
the	N
ACA	C
is	N
repealed	N

#14-1	N
Fighter	N
jet	N
crashes	N
during	N
Children's	N
Day	N
airshow	C
in	N
Thailand	N
A	N
fighter	N
jet	N
crashed	C
,	N
killing	N
the	N
pilot	C
,	N
at	N
Hat	N
Yai	N
International	C
Airport	N
,	N
Songkhla​	N
,	N
Thailand	N
this	N
morning	N
during	N
an	N
annual	C
Children's	N
Day	N
airshow	C
.	N

#14-2	N
The	N
JAS	N
39C	N
Gripen	C
crashed	C
onto	N
a	N
runway	C
at	N
around	N
9:30	N
am	N
local	N
time	N
(0230	N
UTC)	N
and	N
exploded	C
,	N
closing	N
the	N
airport	N
to	N
commercial	C
flights	N
.	N

#14-3	N
The	N
pilot	N
was	N
identified	C
as	N
Squadron	C
Leader	N
Dilokrit	N
Pattavee	N
.	N

#14-4	N
Local	N
media	N
reports	N
an	N
airport	N
fire	N
vehicle	C
rolled	C
over	N
while	N
responding	C
.	N

#14-5	N
Children	N
screamed	C
in	N
video	N
footage	C
of	N
the	N
crash	C
.	N

#14-6	N
The	N
Royal	N
Thai	N
Air	N
Force	N
asked	N
that	N
images	N
of	N
the	N
accident	C
not	N
be	N
shared	N
,	N
but	N
this	N
has	N
not	N
deterred	C
the	N
press	N
.	N

#14-7	N
Air	N
Force	N
spokesperson	C
Pongsak	N
Semachai	N
said	N
an	N
investigatory	C
commission	N
would	N
be	N
formed	N
.	N

#14-8	N
Prime	N
Minister	N
Prayut	N
Chan-o-cha	N
offered	C
his	N
sympathies	C
to	N
Pattavee's	N
relatives	C
.	N

#14-9	N
Thailand	N
began	N
purchasing	C
the	N
Swedish-built	N
Gripen	N
jets	N
in	N
2008	N
and	N
has	N
twelve	N
.	N

#14-10	N
None	N
of	N
its	N
neighbours	C
have	N
similar	N
aircraft	C
,	N
which	N
cost	N
the	N
nation	N
around	N
2.5	N
billion	N
baht	C
(US$70	N
million)	N
each	N
.	N

#11-2	N
These	N
experiments	C
were	N
performed	C
on	N
laboratory	C
mice	C
.	N

#11-3	N
The	N
research	N
team	N
used	N
an	N
engineered	C
virus	C
to	N
target	C
and	N
alter	C
specific	C
sets	N
of	N
neurons	C
.	N

#11-4	N
Then	N
they	N
fitted	C
the	N
mice	N
with	N
intracranial	C
optical	C
fibers	C
so	N
they	N
could	N
expose	C
their	N
brains	N
to	N
blue	N
light	N
at	N
will	N
.	N

#11-5	N
The	N
system	N
excited	C
two	N
different	N
sets	N
of	N
neurons	C
,	N
both	N
located	N
in	N
the	N
amygdala	C
,	N
which	N
is	N
the	N
part	N
of	N
the	N
brain	N
associated	N
with	N
emotion	N
and	N
aggression	C
.	N

#11-6	N
One	N
set	N
stimulated	C
prey	C
pursuit	C
behavior	C
,	N
such	N
as	N
stalking	C
,	N
and	N
the	N
other	N
stimulated	C
the	N
animal	N
to	N
use	N
its	N
jaw	C
and	N
neck	N
muscles	N
.	N

#11-7	N
When	N
exposed	N
to	N
the	N
laser	N
,	N
the	N
primed	C
mice	N
would	N
first	N
stalk	C
and	N
then	N
pounce	C
on	N
and	N
bite	N
any	N
object	N
in	N
their	N
enclosure	C
,	N
even	N
objects	N
without	N
any	N
food	N
scent	N
or	N
prey	N
value	N
,	N
like	N
sticks	N
and	N
bottle	N
caps	N
.	N

#13-11	N
Representative	C
Tom	N
MacArthur	N
of	N
New	N
Jersey	N
agreed	N
,	N
saying	N
,	N
""""	N
We're	N
loading	N
a	N
gun	N
here	N
.	N

#13-12	N
I	N
want	N
to	N
know	N
where	N
it's	N
pointed	N
before	N
we	N
start	N
the	N
process	C
.	N
""""	N

#13-13	N
Anna	N
Merlan	N
of	N
Jezebel	C
and	N
Anthony	N
Taylor	N
of	N
the	N
Associated	C
Press	N
dismiss	C
Trump's	N
timeline	C
as	N
"""impossible"	N
""""	N
given	N
the	N
complicated	C
nature	N
of	N
U.S	N
.	N
congressional	C
workings	N
.	N

#13-14	N
Senator	N
Collins	N
agreed	N
,	N
saying	N
""""	N
I	N
don't	N
see	N
any	N
possibility	C
of	N
our	N
being	N
able	N
to	N
come	N
up	N
with	N
a	N
comprehensive	C
reform	C
bill	N
that	N
would	N
replace	N
Obamacare	C
by	N
the	N
end	N
of	N
this	N
month	N
.	N

#13-15	N
I	N
just	N
don't	N
see	N
that	N
as	N
being	N
feasible	C
.	N
""""	N

#13-16	N
The	N
Affordable	C
Care	N
Act	N
,	N
which	N
is	N
often	N
cited	C
as	N
a	N
key	N
accomplishment	C
of	N
the	N
Obama	N
administration	C
,	N
has	N
had	N
a	N
mixed	N
reputation	C
,	N
and	N
many	N
conservatives	C
believe	N
a	N
market-based	C
health	N
care	N
system	N
would	N
be	N
more	N
flexible	C
and	N
efficient	C
and	N
less	N
costly	N
,	N
and	N
many	N
believe	N
that	N
the	N
Affordable	C
Care	N
Act	N
only	N
passed	N
because	N
of	N
Obama's	N
later	N
discredited	C
pledge	C
that	N
no	N
one	N
who	N
liked	N
their	N
current	N
health	N
plan	N
would	N
have	N
to	N
switch	C
.	N

#7-9	N
Following	N
the	N
collision	C
Manas	N
airport	C
was	N
closed	N
,	N
and	N
yesterday	N
was	N
declared	N
a	N
day	N
of	N
national	N
mourning	C
in	N
Kyrgyzstan	C
.	N

#7-10	N
The	N
flight	C
was	N
operated	C
by	N
ACT	N
Airlines	N
.	N

#7-11	N
Manas	N
international	C
airport	N
is	N
located	N
outside	N
the	N
capital	N
city	N
of	N
Bishkek	C
,	N
and	N
has	N
been	N
the	N
location	N
of	N
other	N
fatal	C
crashes	C
.	N

#7-12	N
These	N
include	N
a	N
Boeing	N
737	N
en	N
route	N
to	N
Iran	N
,	N
which	N
crashed	C
shortly	N
after	N
take-off	C
in	N
2008	N
,	N
killing	N
68	N
of	N
at	N
least	N
90	N
people	N
on	N
board	C
.	N

#8-1	N
Robben	N
signs	N
contract	C
extension	C
with	N
Bayern	N
German	N
football	N
club	N
FC	N
Bayern	N
Munich	N
yesterday	N
announced	C
Dutch	N
winger	C
Arjen	N
Robben	N
has	N
signed	N
a	N
one	N
contract	C
extension	C
until	N
June	N
2018	N
.	N

#8-3	N
Spending	N
seven	N
years	N
with	N
Munich	N
,	N
Robben	N
has	N
scored	C
82	N
goals	N
in	N
152	N
Bundesliga	C
appearances	C
and	N
netted	C
23	N
goals	N
in	N
53	N
UEFA	N
Champions	N
League	C
matches	N
.	N

#42-105	N
For	N
example	N
,	N
once	N
we	N
find	N
the	N
source	C
of	N
the	N
medicine	C
in	N
nature..	N
.	N
would	N
species	C
without	N
access	C
to	N
this	N
source	C
also	N
have	N
evolved	C
the	N
same	N
behaviour	C
in	N
the	N
lab?	N

#42-107	N
Also..	N
.	N
can	N
ants	N
medicate	C
their	N
friends?	N

#42-108	N
:)	N
Wikinews:	N
What	N
other	N
research	C
are	N
you	N
working	N
on	N
right	N
now?	N

#42-109	N
NB	N
Phew...lots!	N

#42-110	N
I	N
still	N
have	N
some	N
questions	C
left	N
unanswered	C
from	N
my	N
Ph.D	C
.	N
work	N
related	N
to	N
how	N
ants	C
recognize	C
who	N
is	N
a	N
friend	N
and	N
who	N
isn't	N
.	N

#42-111	N
I	N
also	N
started	N
collaborating	C
with	N
Prof	N
.	N
Michael	N
Poulsen	N
from	N
the	N
University	N
of	N
Copenhagen	C
on	N
immunity	C
in	N
fungus-growing	C
termites	C
,	N
as	N
well	N
as	N
their	N
chemical	C
recognition	C
abilities	N
.	N

#42-112	N
Furthermore	C
we're	N
working	N
on	N
social	N
parasitism	C
in	N
wood-ants	C
(ants	N
have	N
lots	N
of	N
animals	N
exploiting	C
the	N
nest	C
for	N
shelter	C
and	N
resources	C
,	N
which	N
all	N
somehow	N
have	N
to	N
get	N
in	N
to	N
the	N
fortress	C
without	N
getting	N
killed)	N
.	N

#42-26	N
WWikinews:	N
What	N
methods	C
and	N
equipment	C
were	N
used	N
for	N
this	N
investigation?	N

#42-28	N
I	N
try	N
to	N
work	N
on	N
a	N
very	N
low	N
budget	C
,	N
and	N
like	N
to	N
build	N
most	N
of	N
the	N
experimental	C
setups	C
myself	N
(we	N
actually	N
have	N
equipment	C
in	N
the	N
lab	N
nicknamed	C
the	N
'Nickinator'	N
,	N
'i-Nick'	N
and	N
the	N
'Nicktendo64')	N
.	N

#42-29	N
There's	N
not	N
that	N
much	N
money	N
in	N
fundamental	C
science	C
at	N
the	N
moment	N
,	N
so	N
I	N
try	N
to	N
cut	N
the	N
costs	N
wherever	C
possible	N
.	N

#42-30	N
We	N
collected	N
wild	C
colonies	C
of	N
Formica	N
fusca	C
by	N
searching	C
through	N
old	N
tree-trunks	C
in	N
old	N
logging	C
sites	N
in	N
southern	N
Finland	N
.	N

#42-31	N
We	N
then	N
housed	C
the	N
ants	C
in	N
nests	C
I	N
made	N
using	N
Y-tong	C
[aerated	N
concrete]	N
.	N

#42-32	N
It's	N
very	N
soft	N
stone	N
that	N
you	N
can	N
easily	N
carve	C
.	N

#42-33	N
We	N
carved	C
out	N
little	N
squares	N
for	N
the	N
ants	N
to	N
live	N
in	N
(covered	N
with	N
old	N
CD	N
covers	N
to	N
prevent	C
them	N
escaping)	N
.	N

#21-12	N
In	N
2013	N
,	N
he	N
joined	C
Marussia	C
F1;	N
the	N
following	C
year	N
,	N
at	N
the	N
2014	N
Monaco	C
Grand	N
Prix	N
,	N
he	N
scored	C
his	N
and	N
Marussia's	N
first	N
points	N
with	N
a	N
ninth-place	C
finish	N
.	N

#21-13	N
After	N
the	N
accident	C
,	N
the	N
FIA	N
,	N
which	N
sanctions	C
Formula	N
One	N
racing	C
,	N
formed	N
a	N
panel	C
to	N
investigate	C
the	N
crash	C
.	N

#21-14	N
Afterwards	C
,	N
the	N
group	N
revealed	C
its	N
findings:	N
as	N
Bianchi	C
entered	C
the	N
run-off	C
area	N
of	N
the	N
track	C
,	N
he	N
disabled	C
the	N
failsafe	C
mechanism	C
by	N
""""	N
[applying]	N
both	N
throttle	C
and	N
brake	C
together	N
,	N
using	N
both	N
"feet"""	N
,	N
while	N
his	N
front	N
wheels	N
were	N
locked;	N
the	N
panel	N
also	N
stated	N
he	N
did	N
not	N
slow	N
down	N
enough	N
to	N
control	N
his	N
car	N
.	N

#21-15	N
Eventually	C
,	N
F1	N
mandated	C
the	N
use	N
of	N
the	N
""""	N
virtual	N
safety	N
"car"""	N
,	N
which	N
requires	N
drivers	N
to	N
enter	N
the	N
pit	C
lane	N
at	N
slower	N
speeds	N
instead	N
of	N
proceeding	C
around	N
the	N
track	N
.	N

#34-12	N
The	N
broadcasts	C
began	N
on	N
August	N
10	N
and	N
South	N
Korea	N
says	N
the	N
broadcasts	C
will	N
continue	N
.	N

#34-13	N
After	N
the	N
exchange	C
of	N
fire	N
,	N
North	N
Korea	N
stated	N
it	N
would	N
attack	N
any	N
loudspeakers	C
broadcasting	N
propaganda	C
and	N
would	N
respond	C
,	N
militarily	C
,	N
within	N
48	N
hours	N
if	N
the	N
broadcasts	C
do	N
not	N
stop	N
.	N

#34-14	N
Both	N
countries	N
have	N
put	N
their	N
militaries	C
on	N
high	N
levels	N
of	N
alert	C
.	N

#35-1	N
UK	N
judge	N
withholds	C
report	N
from	N
Thai	N
death	C
penalty	C
defendants	C
In	N
a	N
judgement	C
released	C
today	N
Mr	N
Justice	N
Green	N
,	N
sitting	N
in	N
the	N
High	N
Court	N
in	N
London	N
,	N
spoke	N
of	N
his	N
""""	N
very	N
considerable	C
unease	C
""""	N
as	N
he	N
rejected	C
an	N
application	C
by	N
two	N
defendants	C
in	N
a	N
Thai	N
death	C
penalty	C
case	N
.	N

#35-2	N
The	N
pair	N
sought	C
a	N
Metropolitan	C
Police	N
report	N
they	N
hoped	N
could	N
assist	C
their	N
defence	C
.	N

#35-3	N
The	N
murders	C
occurred	C
on	N
the	N
picturesque	C
resort	N
island	N
of	N
Koh	N
Tao	N
,	N
pictured	C
here	N
from	N
file	N
.	N

#35-23	N
Thai	N
Prime	N
Minister	N
Chan-o-cha	N
,	N
pictured	C
here	N
in	N
December	N
,	N
was	N
directly	N
involved	N
in	N
negotiations	C
that	N
led	N
to	N
the	N
report	N
being	N
produced	N
.	N

#35-24	N
Both	N
men	N
say	N
they	N
were	N
starved	C
,	N
suffocated	C
,	N
stripped	C
naked	N
,	N
exposed	C
to	N
cold	N
temperatures	C
,	N
beaten	C
,	N
threatened	C
,	N
and	N
denied	C
legal	N
representation	C
.	N

#35-25	N
The	N
Royal	N
Thai	N
Police	N
deny	N
any	N
misconduct	C
.	N

#35-26	N
Mr	N
Justice	N
Green	N
read	N
the	N
report	N
himself	N
and	N
decided	N
not	N
to	N
release	N
it	N
as	N
it	N
was	N
of	N
no	N
assistance	C
to	N
the	N
pair	N
.	N

#35-27	N
The	N
report	N
is	N
known	N
to	N
contain	N
some	N
material	C
disputed	C
by	N
Lin	N
and	N
Phyo	N
.	N

#35-28	N
It	N
says	N
they	N
repeated	N
their	N
confessions	C
at	N
various	N
times	N
,	N
including	N
in	N
court	N
with	N
legal	N
representation	C
,	N
before	N
retracting	C
them	N
.	N

#35-29	N
It	N
also	N
says	N
they	N
have	N
not	N
backed	N
up	N
their	N
torture	C
claims	N
with	N
evidence	C
,	N
medical	N
or	N
otherwise	N
.	N

#35-30	N
Mr	N
Justice	N
Green	N
said	N
the	N
report	N
described	C
""""	N
in	N
many	N
respects	N
[...]	N
no	N
more	N
than	N
the	N
routine	C
conduct	C
of	N
a	N
serious	N
crime	N
investigation	C
.	N

#41-11	N
Extradition	C
to	N
Austria	N
is	N
possible	N
.	N

#41-13	N
The	N
children	N
are	N
thought	N
to	N
be	N
aged	N
three	N
,	N
eight	N
,	N
and	N
ten	N
years	N
,	N
alongside	C
an	N
eighteen-month-old	C
baby	N
.	N

#41-14	N
""""	N
There	N
was	N
also	N
a	N
Syrian	N
travel	N
document	C
found	N
""""	N
police	N
spokesman	C
Hans	N
Peter	N
Doskozil	N
told	N
journalists	C
""""	N
so	N
of	N
course	N
our	N
first	N
assumption	C
is	N
that	N
these	N
people	N
were	N
migrants	C
,	N
and	N
likely	N
a	N
group	N
of	N
Syrian	N
migrants	C
.	N

#41-16	N
The	N
four	N
accused	C
were	N
escorted	C
into	N
court	N
in	N
Kecskemet	C
,	N
central	C
Hungary	N
,	N
by	N
a	N
police	N
convoy	C
.	N

#41-17	N
Reportedly	C
the	N
lorry	C
traveled	C
from	N
Kecskemet	C
.	N

#41-18	N
Hungary	N
is	N
presently	C
building	N
a	N
border	N
fence	C
across	N
the	N
Serbian	C
frontier	C
,	N
as	N
migrants	C
from	N
war-torn	C
Syria	N
and	N
other	N
regions	N
seek	N
access	C
to	N
the	N
Schengen	C
Area	N
of	N
free	N
movement	C
,	N
which	N
covers	N
most	N
of	N
the	N
EU	N
.	N

#39-6	N
The	N
lorry	C
is	N
on	N
the	N
so-called	C
""""	N
Eastern	N
"Motorway"""	N
,	N
the	N
A4	N
,	N
close	N
to	N
the	N
Hungarian	C
border	N
.	N

#39-7	N
It	N
was	N
on	N
the	N
hard	N
shoulder	N
between	N
Neusiedl	C
and	N
Parndorf	C
,	N
closer	C
to	N
Parndorf	C
.	N

#39-8	N
The	N
victims	C
are	N
thought	N
to	N
have	N
suffocated	C
.	N

#39-9	N
Police	N
are	N
seeking	C
the	N
driver	N
.	N

#39-10	N
The	N
Krone	N
published	C
an	N
image	N
of	N
a	N
non-articulated	C
food	N
lorry	C
on	N
the	N
hard	N
shoulder	N
,	N
which	N
they	N
report	N
is	N
the	N
vehicle	C
in	N
question	N
.	N

#39-11	N
The	N
photo	N
shows	N
a	N
pool	N
of	N
dark	N
liquid	C
on	N
the	N
ground	N
beside	N
the	N
vehicle	N
.	N

#39-12	N
Video	N
from	N
a	N
passing	N
motorist	C
shows	N
at	N
least	N
one	N
helicopter	C
on-scene	C
.	N

#39-13	N
The	N
truck	N
,	N
which	N
has	N
pictures	N
of	N
meat	N
on	N
the	N
side	N
,	N
shows	N
branding	C
for	N
Slovakian	C
food	N
firm	N
Hyza	C
.	N

#39-14	N
Earlier	N
today	N
the	N
company's	N
website	N
sported	C
an	N
apparent	C
anti-immigration	C
graphic	C
,	N
which	N
has	N
since	N
been	N
removed	N
.	N

#39-15	N
Wikinews	C
got	N
in	N
touch	N
with	N
Hyza	N
.	N

#41-2	N
Their	N
detention	C
relates	N
to	N
Thursday's	N
discovery	C
of	N
a	N
lorry	C
full	N
of	N
corpses	C
in	N
Austria	N
.	N

#41-3	N
The	N
death	N
toll	C
was	N
yesterday	N
finalised	C
at	N
71	N
.	N

#41-4	N
Today's	N
hearing	C
took	N
place	N
at	N
the	N
Palace	N
of	N
Justice	N
in	N
Kecskemet	C
,	N
pictured	C
here	N
from	N
file	N
.	N

#41-5	N
The	N
lorry	C
had	N
been	N
abandoned	C
since	N
Wednesday	N
on	N
the	N
hard	N
shoulder	C
of	N
the	N
""""	N
Eastern	N
"Motorway"""	N
,	N
near	N
the	N
Hungarian	N
border	N
.	N

#41-6	N
Roadworkers	C
became	N
suspicious	C
of	N
dark	N
liquid	N
seeping	C
from	N
the	N
vehicle	C
,	N
and	N
responding	C
police	N
found	N
the	N
bodies	N
.	N

#41-7	N
Initial	N
police	N
estimates	C
were	N
that	N
20–50	N
were	N
suffocated	C
in	N
the	N
back	N
of	N
the	N
lorry	C
which	N
was	N
near	N
Parndorf	C
.	N

#41-8	N
The	N
arrested	C
men	N
are	N
thought	N
to	N
include	N
the	N
vehicle's	N
owner	N
and	N
at	N
least	N
two	N
drivers	N
.	N

#41-10	N
Criminal	N
suspects	C
in	N
Hungary	N
can	N
generally	N
be	N
held	N
for	N
72	N
hours	N
before	N
charge	N
but	N
prosecutors	C
,	N
citing	C
the	N
seriousness	C
of	N
the	N
case	N
,	N
want	N
the	N
period	N
extended	C
.	N

#30-12	N
It	N
was	N
dubbed	C
the	N
""""	N
gag	C
"law""((es))"	N
or	N
the	N
""""	N
gagging	C
"law"""	N
.	N

#30-13	N
The	N
law	N
prohibits	C
""""	N
the	N
unauthorized	C
use	N
of	N
images	N
of	N
police	N
officers	N
that	N
might	N
jeopardize	C
their	N
or	N
their	N
family's	N
safety	N
or	N
that	N
of	N
protected	C
facilities	C
or	N
police	N
"operations"""	N
.	N

#30-14	N
Judge	N
Joaquim	N
Bosch	N
,	N
Judges	N
for	N
Democracy	N
spokesperson	C
,	N
said:	N
""""	N
It	N
is	N
not	N
a	N
law	N
for	N
citizens'	N
security	N
,	N
but	N
a	N
law	N
for	N
the	N
government	N
to	N
avoid	N
citizens’	N
protests	C
.	N

#30-15	N
All	N
opinion	N
polls	N
indicate	N
that	N
the	N
Spanish	N
society	N
is	N
not	N
at	N
all	N
preoccupied	C
by	N
security	N
but	N
by	N
the	N
economic	N
situation	N
and	N
political	N
corruption	C
.	N
""""	N

#30-16	N
Amnesty	N
International	N
condemned	C
the	N
law	N
in	N
a	N
report:	N
""""	N
With	N
threats	C
of	N
fines	N
or	N
threats	C
of	N
being	N
beaten	N
,	N
the	N
government	N
is	N
trying	N
to	N
stigmatize	C
and	N
criminalize	C
people	N
who	N
are	N
just	N
practicing	N
their	N
rights	N
.	N
""""	N

#30-17	N
Virginia	N
Álvarez	N
,	N
who	N
wrote	N
the	N
report	N
,	N
noted	N
,	N
""""	N
instead	N
of	N
listening	N
to	N
their	N
demands	N
,	N
instead	N
of	N
starting	N
a	N
dialogue	C
,	N
authorities	C
are	N
doing	N
everything	N
they	N
can	N
to	N
impede	C
people	N
from	N
"protesting"""	N
.	N

#38-4	N
Around	N
fifteen	N
shots	C
were	N
reported	C
fired	N
.	N

#38-5	N
Parker	N
and	N
Ward	N
were	N
killed	N
,	N
while	N
the	N
interviewee	C
,	N
Vicki	N
Gardner	N
,	N
was	N
transported	C
to	N
hospital	N
and	N
underwent	C
surgery	C
for	N
her	N
injuries	C
,	N
later	N
listed	N
in	N
stable	C
condition	N
.	N

#38-6	N
The	N
gunman	C
,	N
later	N
identified	C
as	N
41	N
year-old	N
Vester	N
Lee	N
Flanagan	N
II	N
,	N
fled	C
the	N
scene	C
.	N

#38-7	N
A	N
brief	C
police	N
chase	C
ensued	C
several	N
hours	N
later	N
when	N
law	N
enforcement	C
attempted	C
unsuccessfully	C
to	N
pull	N
Flanagan	C
over	N
on	N
Interstate	N
66	N
in	N
Fauquier	C
County	N
.	N

#38-9	N
He	N
was	N
pronounced	C
dead	N
at	N
a	N
Fairfax-area	C
hospital	N
around	N
1:30	N
PM	N
local	N
time	N
(1730	N
UTC)	N
.	N

#38-10	N
Flanagan	N
,	N
who	N
reported	C
under	N
the	N
alias	C
""""	N
Bryce	N
"Williams"""	N
,	N
was	N
fired	N
by	N
the	N
station	N
in	N
2013	N
.	N

#38-11	N
According	N
to	N
WDBJ	N
president	N
and	N
general	N
manager	N
Jeffrey	N
Marks	N
,	N
speaking	N
to	N
CBS	N
News	N
,	N
Flanagan	N
was	N
""""	N
an	N
unhappy	N
man	N
""""	N
and	N
""""	N
difficult	C
to	N
work	N
"with"""	N
.	N

#21-4	N
Cquote2.svg	N
This	N
is	N
the	N
first	N
F1	N
race-related	C
driver	N
death	N
since	N
the	N
1994	N
San	N
Marino	N
Grand	N
Prix	N
,	N
when	N
Ayrton	C
Senna	N
was	N
killed	N
.	N

#21-5	N
On	N
October	N
5	N
,	N
2014	N
,	N
at	N
the	N
late	N
portion	C
of	N
the	N
Japanese	N
Grand	N
Prix	N
at	N
Suzuka	C
Circuit	C
,	N
Bianchi	C
collided	C
with	N
a	N
tractor	N
crane	C
that	N
had	N
been	N
attending	C
to	N
the	N
crashed	N
car	N
of	N
Adrian	N
Sutil	N
.	N

#21-6	N
Bianchi's	N
helmet	N
became	N
wedged	C
underneath	C
the	N
tractor	N
,	N
causing	N
a	N
diffuse	C
axonal	C
injury	C
,	N
and	N
he	N
fell	N
into	N
a	N
coma	C
.	N

#21-8	N
Placed	N
in	N
the	N
intensive	C
care	N
unit	N
,	N
in	N
December	N
he	N
began	N
rehabilitation	C
therapy	C
.	N

#21-9	N
Bianchi's	N
father	N
,	N
Philippe	C
,	N
described	C
his	N
non-progress	C
as	N
a	N
""""	N
daily	N
"torture"""	N
.	N

#21-10	N
Bianchi	N
,	N
the	N
2007	N
French	N
Formula	N
Renault	C
and	N
2009	N
Formula	N
3	N
Euro	N
Series	N
champion	N
,	N
was	N
the	N
inaugural	C
member	N
of	N
the	N
Ferrari	C
Driver	N
Academy	N
.	N

#3-3	N
The	N
32-year-old	N
artist	N
has	N
been	N
charged	C
on	N
several	N
occasions	C
.	N

#3-4	N
In	N
the	N
November	N
2015	N
,	N
Pavlensky	C
set	N
Russia's	N
Federal	C
Security	N
Service's	N
headquarters'	N
door	N
on	N
fire	N
in	N
Moscow	N
.	N

#3-5	N
Pavlensky	C
called	N
this	N
an	N
artwork	C
named	N
"""Threat"	N
""""	N
and	N
was	N
sentenced	C
to	N
a	N
prison	C
term	N
for	N
vandalism	C
.	N

#3-7	N
Anastasia	N
Slonina	N
,	N
an	N
actress	C
working	N
in	N
a	N
theatre	C
in	N
Moscow	N
called	N
Teatr.doc	C
,	N
known	N
for	N
liberal	C
plays	N
,	N
filed	N
rape	C
charges	N
on	N
Pavlensky	N
and	N
his	N
partner	N
Oksana	C
.	N

#3-8	N
The	N
theatre	N
claims	C
to	N
have	N
a	N
CCTV	N
video	N
footage	C
of	N
Pavlensky	N
and	N
other	N
men	N
beating	C
Slonina's	N
boyfriend	N
in	N
the	N
parking	N
lot	N
on	N
October	N
31	N
.	N

#3-9	N
Pavlensky	N
said	N
he	N
does	N
not	N
appear	C
in	N
the	N
video	N
.	N

#3-10	N
Pavlensky	N
